id,y
0,1
1,1
2,2
3,1
4,1
5,0
6,0
7,0
8,1
9,1
10,0
11,2
12,2
13,0
14,1
15,1
16,2
17,1
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,1
32,2
33,2
34,1
35,0
36,2
37,1
38,2
39,1
40,2
41,0
42,1
43,1
44,2
45,0
46,1
47,0
48,2
49,1
50,2
51,0
52,2
53,2
54,1
55,0
56,1
57,2
58,2
59,2
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,2
69,0
70,1
71,2
72,1
73,2
74,2
75,2
76,0
77,0
78,2
79,2
80,0
81,1
82,2
83,2
84,0
85,0
86,2
87,0
88,0
89,1
90,1
91,1
92,2
93,1
94,1
95,2
96,2
97,2
98,0
99,2
100,2
101,1
102,2
103,0
104,1
105,0
106,0
107,1
108,0
109,2
110,2
111,1
112,0
113,2
114,1
115,2
116,1
117,2
118,1
119,0
120,1
121,2
122,1
123,2
124,0
125,2
126,2
127,1
128,2
129,2
130,0
131,0
132,2
133,0
134,0
135,1
136,2
137,1
138,1
139,1
140,1
141,2
142,2
143,2
144,0
145,2
146,2
147,0
148,1
149,2
150,1
151,0
152,0
153,1
154,2
155,0
156,2
157,1
158,2
159,1
160,2
161,1
162,0
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,0
171,0
172,2
173,0
174,1
175,2
176,0
177,0
178,1
179,2
180,1
181,0
182,0
183,2
184,2
185,2
186,1
187,1
188,0
189,2
190,0
191,2
192,1
193,2
194,0
195,2
196,0
197,1
198,1
199,0
200,2
201,1
202,2
203,0
204,2
205,2
206,1
207,1
208,0
209,1
210,1
211,0
212,2
213,2
214,1
215,2
216,2
217,2
218,1
219,1
220,0
221,2
222,0
223,2
224,1
225,2
226,0
227,0
228,1
229,1
230,1
231,0
232,2
233,0
234,2
235,1
236,0
237,2
238,0
239,2
240,1
241,2
242,2
243,2
244,2
245,0
246,1
247,2
248,0
249,2
250,0
251,0
252,2
253,0
254,0
255,1
256,0
257,0
258,2
259,0
260,1
261,1
262,0
263,2
264,2
265,1
266,0
267,0
268,2
269,1
270,2
271,0
272,0
273,1
274,2
275,0
276,1
277,2
278,0
279,1
280,0
281,0
282,0
283,1
284,2
285,2
286,2
287,0
288,1
289,1
290,0
291,2
292,1
293,0
294,0
295,2
296,0
297,2
298,1
299,0
300,1
301,2
302,2
303,0
304,2
305,0
306,1
307,2
308,2
309,0
310,1
311,2
312,0
313,0
314,0
315,1
316,1
317,1
318,1
319,2
320,1
321,2
322,1
323,1
324,2
325,1
326,1
327,2
328,1
329,0
330,0
331,2
332,0
333,1
334,0
335,0
336,1
337,0
338,2
339,2
340,0
341,1
342,1
343,2
344,2
345,1
346,1
347,2
348,2
349,2
350,2
351,1
352,1
353,2
354,1
355,1
356,2
357,2
358,1
359,2
360,0
361,2
362,2
363,2
364,2
365,2
366,1
367,0
368,0
369,1
370,2
371,2
372,0
373,1
374,2
375,2
376,0
377,0
378,0
379,0
380,2
381,0
382,1
383,1
384,1
385,0
386,2
387,2
388,2
389,2
390,2
391,2
392,1
393,0
394,0
395,2
396,0
397,2
398,2
399,1
400,2
401,1
402,2
403,1
404,2
405,0
406,0
407,0
408,1
409,2
410,1
411,1
412,2
413,0
414,0
415,1
416,1
417,2
418,0
419,1
420,0
421,1
422,2
423,1
424,2
425,0
426,2
427,1
428,1
429,1
430,0
431,0
432,2
433,1
434,2
435,0
436,2
437,1
438,2
439,0
440,0
441,1
442,0
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,2
452,1
453,0
454,1
455,2
456,2
457,2
458,1
459,0
460,0
461,1
462,0
463,2
464,1
465,2
466,1
467,0
468,0
469,2
470,1
471,0
472,2
473,0
474,2
475,2
476,2
477,2
478,0
479,2
480,2
481,2
482,0
483,1
484,0
485,1
486,2
487,0
488,1
489,2
490,2
491,0
492,1
493,0
494,2
495,0
496,2
497,0
498,1
499,0
500,0
501,0
502,0
503,2
504,1
505,0
506,2
507,2
508,1
509,2
510,0
511,1
512,1
513,1
514,2
515,1
516,2
517,0
518,2
519,2
520,0
521,1
522,0
523,2
524,1
525,1
526,2
527,2
528,1
529,0
530,1
531,2
532,2
533,0
534,1
535,1
536,0
537,2
538,1
539,2
540,1
541,1
542,2
543,0
544,0
545,1
546,2
547,0
548,2
549,1
550,2
551,0
552,1
553,2
554,0
555,0
556,2
557,2
558,2
559,1
560,2
561,2
562,2
563,2
564,2
565,1
566,2
567,2
568,1
569,0
570,0
571,2
572,2
573,0
574,1
575,2
576,1
577,1
578,1
579,0
580,1
581,2
582,0
583,2
584,0
585,2
586,1
587,0
588,1
589,2
590,2
591,1
592,1
593,0
594,1
595,0
596,0
597,2
598,2
599,0
600,1
601,1
602,0
603,2
604,1
605,2
606,2
607,2
608,0
609,2
610,0
611,1
612,1
613,1
614,0
615,1
616,1
617,1
618,2
619,0
620,2
621,0
622,2
623,1
624,1
625,2
626,0
627,1
628,1
629,1
630,2
631,0
632,1
633,1
634,0
635,2
636,2
637,0
638,0
639,1
640,1
641,1
642,2
643,1
644,0
645,2
646,2
647,0
648,0
649,2
650,0
651,2
652,2
653,0
654,0
655,1
656,0
657,0
658,0
659,1
660,0
661,2
662,2
663,2
664,1
665,0
666,2
667,0
668,0
669,1
670,2
671,0
672,1
673,1
674,2
675,1
676,1
677,0
678,1
679,0
680,1
681,2
682,2
683,1
684,2
685,0
686,0
687,0
688,2
689,0
690,1
691,1
692,2
693,2
694,0
695,0
696,2
697,0
698,0
699,1
700,1
701,0
702,1
703,1
704,0
705,0
706,0
707,2
708,2
709,2
710,1
711,1
712,1
713,2
714,2
715,1
716,2
717,2
718,0
719,1
720,1
721,2
722,1
723,2
724,2
725,0
726,2
727,1
728,2
729,0
730,1
731,0
732,0
733,0
734,1
735,1
736,0
737,0
738,2
739,2
740,2
741,2
742,0
743,2
744,0
745,1
746,1
747,1
748,0
749,2
750,1
751,1
752,0
753,2
754,0
755,0
756,2
757,0
758,2
759,0
760,1
761,2
762,0
763,2
764,2
765,0
766,2
767,1
768,1
769,1
770,0
771,0
772,0
773,1
774,2
775,0
776,2
777,0
778,0
779,0
780,2
781,1
782,1
783,1
784,1
785,1
786,2
787,0
788,1
789,2
790,1
791,0
792,1
793,2
794,2
795,0
796,0
797,2
798,2
799,1
800,2
801,2
802,1
803,1
804,0
805,1
806,0
807,1
808,0
809,2
810,0
811,2
812,1
